date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20251211,OTC.TW,櫃買指數,260.09,267.2,259.68,263.98,-0.26,176751080000,265.83,265.3,264.21,264.84,263.58
20251210,OTC.TW,櫃買指數,260.56,265.16,259.46,264.67,0.18,156030530000,264.71,264.21,262.83,263.58,262.16
20251209,OTC.TW,櫃買指數,259.47,264.19,259.46,264.19,0.69,126362650000,263.6,262.83,261.26,262.16,261.02
20251208,OTC.TW,櫃買指數,259.81,262.52,259.13,262.37,0.66,110913590000,261.95,261.26,260.53,261.02,260.72
20251205,OTC.TW,櫃買指數,262.2,263.25,259.13,260.65,0.3,91325720000,260.43,260.53,260.82,260.72,260.68
20251204,OTC.TW,櫃買指數,258.51,263.25,258.51,259.86,-0.26,122965700000,260.61,260.82,260.71,260.68,260.83
20251203,OTC.TW,櫃買指數,256.57,263.25,256.57,260.55,0.55,129373930000,261.02,260.71,260.73,260.83,260.98
20251202,OTC.TW,櫃買指數,254.83,263.25,254.83,259.13,-0.23,119333590000,260.37,260.73,261.24,260.98,260.18
20251201,OTC.TW,櫃買指數,251.45,263.25,251.45,259.72,-0.98,136735640000,261.05,261.24,259.76,260.18,258.79
20251128,OTC.TW,櫃買指數,246.81,262.84,246.81,262.28,1.56,143429970000,261.42,259.76,257.44,258.79,256.51
20251127,OTC.TW,櫃買指數,251.63,258.77,244.74,258.24,0.82,141701690000,258.08,257.44,255.72,256.51,253.61
20251126,OTC.TW,櫃買指數,247.71,257.77,244.74,256.14,0.68,136854600000,256.77,255.72,252.12,253.61,250.54
20251125,OTC.TW,櫃買指數,249.7,255.56,244.74,254.4,1.62,143180340000,254.71,252.12,248.38,250.54,249.69
20251124,OTC.TW,櫃買指數,255.63,256.25,244.74,250.34,1.78,147520500000,249.61,248.38,249.73,249.69,249.33
20251121,OTC.TW,櫃買指數,256.53,259.41,244.74,245.97,-2.76,129882760000,246.99,249.73,250.59,249.33,251.54
20251120,OTC.TW,櫃買指數,259.78,259.78,246.51,252.95,2.53,129930370000,252.47,250.59,251.07,251.54,253.39
20251119,OTC.TW,櫃買指數,259.1,261.08,246.51,246.7,-1.34,112710500000,248.42,251.07,255.41,253.39,256.1
20251118,OTC.TW,櫃買指數,257.1,261.08,249.67,250.06,-2.31,139676180000,253.2,255.41,257.63,256.1,258.61
20251117,OTC.TW,櫃買指數,257.54,261.08,255.93,255.96,-0.11,138370240000,257.64,257.63,259.06,258.61,259.01
20251114,OTC.TW,櫃買指數,258.87,261.08,255.9,256.25,-1.56,127355490000,257.62,259.06,259.6,259.01,259.21
20251113,OTC.TW,櫃買指數,261.99,261.99,255.9,260.3,0.57,166105460000,260.17,259.6,258.63,259.21,258.22
20251112,OTC.TW,櫃買指數,259.83,262.27,255.9,258.82,0.83,135545430000,258.91,258.63,257.85,258.22,258.46
20251111,OTC.TW,櫃買指數,260.17,262.27,254.53,256.7,-0.22,135070290000,258.34,257.85,258.53,258.46,259.72
