date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20251204,TSE.TW,加權指數,27566.12,27880.23,27342.53,27795.71,0.01,3.97804E+11,27774.34,27766.34,27685.4,27711.78,27626.95
20251203,TSE.TW,加權指數,27517.24,27847.67,27342.53,27793.04,0.83,4.57133E+11,27759.38,27685.4,27565.15,27626.95,27601.61
20251202,TSE.TW,加權指數,27063.17,27796.9,27063.17,27564.27,0.81,4.86331E+11,27615.87,27565.15,27594.56,27601.61,27585.99
20251201,TSE.TW,加權指數,26995.9,27796.9,26793.71,27342.53,-1.03,4.93283E+11,27515.14,27594.56,27621.09,27585.99,27505.58
20251128,TSE.TW,加權指數,26596.03,27796.9,26482.33,27626.48,0.26,4.89411E+11,27674.6,27621.09,27425.23,27505.58,27266.63
20251127,TSE.TW,加權指數,26821.97,27659.06,26395.98,27554.53,0.53,5.06274E+11,27569.37,27425.23,27115.47,27266.63,26881.48
20251126,TSE.TW,加權指數,27212.91,27493.63,26395.98,27409.54,1.85,5.23329E+11,27285.79,27115.47,26710.79,26881.48,26669.92
20251125,TSE.TW,加權指數,26708.28,27493.63,26395.98,26912.17,1.54,4.90579E+11,26933.77,26710.79,26572.64,26669.92,26821.82
20251124,TSE.TW,加權指數,27310.4,27493.63,26395.98,26504.24,0.26,7.49029E+11,26564.75,26572.64,26985.84,26821.82,26904.53
20251121,TSE.TW,加權指數,27600.74,27723.77,26395.98,26434.94,-3.61,5.8171E+11,26582.81,26985.84,27073.41,26904.53,27046.84
20251120,TSE.TW,加權指數,27816.45,27816.45,26580.12,27426.36,3.18,5.92229E+11,27381.71,27073.41,26879.97,27046.84,27098.21
20251119,TSE.TW,加權指數,27867.59,28038.24,26580.12,26580.12,-0.66,5.15972E+11,26719.55,26879.97,27258.36,27098.21,27335.86
20251118,TSE.TW,加權指數,27853.47,28071.76,26756.12,26756.12,-2.52,6.72449E+11,27003.06,27258.36,27528.49,27335.86,27679.72
20251117,TSE.TW,加權指數,28031.54,28187.7,27383.34,27447.31,0.18,5.47484E+11,27571.93,27528.49,27725.53,27679.72,27793.44
20251114,TSE.TW,加權指數,27805.47,28187.7,27383.34,27397.5,-1.81,6.14268E+11,27489.77,27725.53,27942.71,27793.44,27970.41
20251113,TSE.TW,加權指數,27818.54,28187.7,27621.48,27903.56,-0.16,6.7388E+11,27940.43,27942.71,27987.82,27970.41,27939.99
20251112,TSE.TW,加權指數,27906.44,28187.7,27621.48,27947.09,0.58,5.75803E+11,27945.38,27987.82,27937.14,27939.99,27869.57
20251111,TSE.TW,加權指數,27785.91,28187.7,27373.05,27784.95,-0.3,5.84179E+11,28029.66,27937.14,27775.16,27869.57,27841.41
20251110,TSE.TW,加權指數,28364.76,28554.61,27373.05,27869.51,0.79,5.0399E+11,27829.91,27775.16,27847.21,27841.41,27762.99
20251107,TSE.TW,加權指數,28253.53,28554.61,27373.05,27651.41,-0.89,4.86583E+11,27718.45,27847.21,27782.11,27762.99,27961.59
20251106,TSE.TW,加權指數,28280.47,28554.61,27373.05,27899.45,0.66,5.14158E+11,27969.06,27782.11,27958.45,27961.59,28075.61
20251105,TSE.TW,加權指數,28350.24,28554.61,27373.05,27717.06,-1.42,6.19178E+11,27626.87,27958.45,28310.02,28075.61,28335.88
20251104,TSE.TW,加權指數,28157.91,28554.61,28033.62,28116.56,-0.77,6.0407E+11,28298.32,28310.02,28355.49,28335.88,28350.99
20251103,TSE.TW,加權指數,28041.01,28527.68,27885.62,28334.59,0.36,5.81277E+11,28322.18,28355.49,28364.83,28350.99,28334.41
20251031,TSE.TW,加權指數,28029.88,28527.68,27885.62,28233.35,-0.19,5.75975E+11,28389.1,28364.83,28308.75,28334.41,28212.61
20251030,TSE.TW,加權指數,27457.07,28527.68,27371.67,28287.53,-0.03,6.33313E+11,28342.76,28308.75,28140.9,28212.61,28117.21
20251029,TSE.TW,加權指數,27614.11,28395.31,27371.67,28294.74,1.24,5.94014E+11,28272.49,28140.9,28034.81,28117.21,27883.6
20251028,TSE.TW,加權指數,27742.55,28196.33,27371.67,27949.11,-0.16,5.55485E+11,28000.19,28034.81,27818.72,27883.6,27753.97
20251027,TSE.TW,加權指數,27480.44,28196.33,27371.67,27993.63,1.68,5.63982E+11,28068.91,27818.72,27556,27753.97,27675.69
20251023,TSE.TW,加權指數,27399.91,27969.05,27302.37,27532.26,-0.42,4.34334E+11,27493.86,27556,27755.34,27675.69,27720.65
20251022,TSE.TW,加權指數,27337.32,27969.05,27302.37,27648.91,-0.37,4.62884E+11,27614.31,27755.34,27768.56,27720.65,27646.28
20251021,TSE.TW,加權指數,26911.05,27969.05,26773.15,27752.41,0.23,5.28628E+11,27878.83,27768.56,27529.76,27646.28,27540.93
20251020,TSE.TW,加權指數,27282.1,27768.27,26764.06,27688.63,1.41,4.9878E+11,27651.7,27529.76,27491.67,27540.93,27349.92
20251017,TSE.TW,加權指數,26762.6,27732.78,26470.44,27302.37,-1.25,5.56271E+11,27420.42,27491.67,27313.81,27349.92,27267.1
20251016,TSE.TW,加權指數,27301.61,27732.78,26470.44,27647.87,1.36,5.65262E+11,27561.78,27313.81,27131.64,27267.1,27014.72
20251015,TSE.TW,加權指數,26999.82,27507.16,26470.44,27275.71,1.8,5.21042E+11,27044.8,27131.64,27002.82,27014.72,27111.58
20251014,TSE.TW,加權指數,27029.28,27507.16,26470.44,26793.15,-0.48,7.08591E+11,27195.5,27002.82,27061.63,27111.58,27044.8
20251013,TSE.TW,加權指數,26435.1,27463.12,26410.03,26923.42,-1.39,6.08117E+11,26778.3,27061.63,27198.64,27044.8,27192.96
20251009,TSE.TW,加權指數,26392.31,27463.12,26330.25,27301.92,0.88,5.82416E+11,27357.47,27198.64,27101.41,27192.96,26940.83
20251008,TSE.TW,加權指數,26078.29,27301.42,25982.91,27063.68,-0.54,4.71069E+11,27002.27,27101.41,26913.41,26940.83,26750.3
20251007,TSE.TW,加權指數,25738.31,27301.42,25738.31,27211.95,1.68,5.75488E+11,27182.57,26913.41,26498.1,26750.3,26379.02
20251003,TSE.TW,加權指數,25998.28,26761.06,25469.04,26761.06,1.45,4.79895E+11,26590.64,26498.1,26274.89,26379.02,26149.63
20251002,TSE.TW,加權指數,26067.97,26489.79,25469.04,26378.39,1.52,5.06508E+11,26410.43,26274.89,26006.65,26149.63,25876.42
20251001,TSE.TW,加權指數,26389.16,26394.03,25469.04,25982.91,0.63,4.68705E+11,26128.41,26006.65,25752.74,25876.42,25882.24
20250930,TSE.TW,加權指數,26121,26394.03,25469.04,25820.54,0.94,4.55164E+11,25881.27,25752.74,25882.68,25882.24,25985.15
20250926,TSE.TW,加權指數,25599.6,26394.03,25469.04,25580.32,-1.7,4.99747E+11,25635.67,25882.68,26156.72,25985.15,26162.84
20250925,TSE.TW,加權指數,25794.66,26394.03,25578.37,26023.85,-0.66,5.03037E+11,26128.08,26156.72,26179.31,26162.84,26051.09
20250924,TSE.TW,加權指數,25543.17,26394.03,25475.25,26196.73,-0.19,5.14958E+11,26184.7,26179.31,25984.19,26051.09,25877.23
20250923,TSE.TW,加權指數,25543.91,26307.3,25422.96,26247.37,1.42,5.46726E+11,26174.23,25984.19,25729.76,25877.23,25697.88
20250922,TSE.TW,加權指數,25335.46,25887.69,25335.46,25880.6,1.18,4.81748E+11,25768.51,25729.76,25666.56,25697.88,25621.35
20250919,TSE.TW,加權指數,25494.1,25864.01,25284.17,25578.37,-0.74,6.19313E+11,25699.61,25666.56,25567.87,25621.35,25573.25
20250918,TSE.TW,加權指數,25349.7,25769.36,25284.17,25769.36,1.3,4.67114E+11,25622.73,25567.87,25547.41,25573.25,25498.22
20250917,TSE.TW,加權指數,25509.3,25664.81,25174.13,25438.25,-0.75,4.39338E+11,25509.55,25547.41,25492.45,25498.22,25468.6
20250916,TSE.TW,加權指數,25032.88,25664.81,25032.88,25629.64,1.07,4.54838E+11,25583.97,25492.45,25410.44,25468.6,25406.5
20250915,TSE.TW,加權指數,24650.46,25541.44,24650.46,25357.16,-0.46,4.07564E+11,25390.31,25410.44,25412.48,25406.5,25328.37
20250912,TSE.TW,加權指數,24610.85,25541.44,24547.38,25474.64,1.03,4.94685E+11,25427.03,25412.48,25285.88,25328.37,25133.51
20250911,TSE.TW,加權指數,24244.26,25541.44,24244.26,25215.71,0.09,6.0905E+11,25400.66,25285.88,24978.78,25133.51,24875.59
20250910,TSE.TW,加權指數,24235.27,25272.23,24168.16,25192.59,1.36,5.3976E+11,25156.37,24978.78,24716.78,24875.59,24624.61
20250909,TSE.TW,加權指數,24036.88,24880.07,23925.49,24855.18,1.25,5.11809E+11,24791.49,24716.78,24526.28,24624.61,24443.17
20250908,TSE.TW,加權指數,24113.9,24729.96,23890.33,24547.38,0.22,4.42549E+11,24630.38,24526.28,24348.63,24443.17,24259.37
20250905,TSE.TW,加權指數,24143.37,24494.58,23885.41,24494.58,1.3,4.26138E+11,24418.18,24348.63,24177.33,24259.37,24150.25
20250904,TSE.TW,加權指數,24438.03,24570.15,23885.41,24179.85,0.33,4.50146E+11,24282.78,24177.33,24075.15,24150.25,24084.13
20250903,TSE.TW,加權指數,24468.12,24570.15,23885.41,24100.3,0.35,3.74719E+11,24050.66,24075.15,24097.45,24084.13,24197.3
20250902,TSE.TW,加權指數,24449.81,24570.15,23885.41,24016.78,-0.23,4.19583E+11,24097.02,24097.45,24239.37,24197.3,24291.77
20250901,TSE.TW,加權指數,24237.36,24570.15,23885.41,24071.73,-0.67,5.22219E+11,24097.79,24239.37,24401.07,24291.77,24428.63
20250829,TSE.TW,加權指數,24108.81,24570.15,24108.75,24233.1,-0.01,4.78043E+11,24394.03,24401.07,24446.7,24428.63,24374.98
20250828,TSE.TW,加權指數,24033.02,24539.88,23764.47,24236.45,-1.16,4.48777E+11,24408.57,24446.7,24359.87,24374.98,24329.3
20250827,TSE.TW,加權指數,23739.83,24539.88,23739.83,24519.9,0.88,4.6683E+11,24483.35,24359.87,24254.58,24329.3,24157.88
20250826,TSE.TW,加權指數,24309.27,24382.42,23620.24,24305.1,0.11,5.31357E+11,24251.39,24254.58,24095.79,24157.88,24033.06
20250825,TSE.TW,加權指數,24493.92,24551.42,23620.24,24277.38,2.16,4.31023E+11,24258.51,24095.79,23909.95,24033.06,23885.12
20250822,TSE.TW,加權指數,24272.55,24551.42,23620.24,23764.47,-0.82,3.69156E+11,23905.79,23909.95,23877.43,23885.12,24051.84
20250821,TSE.TW,加權指數,24266.23,24551.42,23620.24,23962.13,1.43,4.2018E+11,23913.6,23877.43,24107.21,24051.84,
20250820,TSE.TW,加權指數,24258.5,24551.42,23620.24,23625.44,-2.99,5.71774E+11,23850.85,24107.21,,,
20250819,TSE.TW,加權指數,24232.04,24551.42,24164.43,24353.5,-0.53,4.7735E+11,24414.27,,,,
